time,crd,vel,ekin,epot,etotal,coff_0,coff_1,prob,random,state
44.000,-4.36200376,0.01449979,0.21024404,-0.00999047,0.20025357,1.00000000,0.00000000,0.00000000,0.59643090,0
45.000,-4.34750397,0.01449979,0.21024383,-0.00999025,0.20025358,1.00000000,0.00000000,0.00000000,0.96142070,0
46.000,-4.33300419,0.01449978,0.21024360,-0.00999002,0.20025358,1.00000000,0.00000000,0.00000000,0.99929787,0
47.000,-4.31850441,0.01449977,0.21024337,-0.00998978,0.20025359,1.00000000,0.00000000,0.00000000,0.83631173,0
48.000,-4.30400464,0.01449976,0.21024314,-0.00998954,0.20025359,1.00000000,0.00000000,0.00000000,0.49921025,0
49.000,-4.28950489,0.01449976,0.21024290,-0.00998930,0.20025360,1.00000000,0.00000000,0.00000000,0.23378952,0
50.000,-4.27500513,0.01449975,0.21024265,-0.00998905,0.20025361,1.00000000,0.00000000,0.00000000,0.65105242,0
51.000,-4.26050539,0.01449974,0.21024240,-0.00998879,0.20025361,1.00000000,0.00000000,0.00000000,0.77168033,0
52.000,-4.24600566,0.01449973,0.21024215,-0.00998853,0.20025362,1.00000000,0.00000000,0.00000000,0.23532352,0
53.000,-4.23150593,0.01449972,0.21024188,-0.00998826,0.20025362,1.00000000,0.00000000,0.00000000,0.73569814,0
54.000,-4.21700622,0.01449971,0.21024161,-0.00998798,0.20025363,1.00000000,0.00000000,0.00000000,0.48451765,0
55.000,-4.20250651,0.01449970,0.21024134,-0.00998770,0.20025364,1.00000000,0.00000000,0.00000000,0.96478695,0
56.000,-4.18800682,0.01449969,0.21024106,-0.00998741,0.20025364,1.00000000,0.00000000,0.00000000,0.43391019,0
57.000,-4.17350713,0.01449968,0.21024077,-0.00998712,0.20025365,1.00000000,0.00000000,0.00000000,0.06040283,0
58.000,-4.15900745,0.01449967,0.21024047,-0.00998681,0.20025366,1.00000000,0.00000000,0.00000000,0.77485108,0
59.000,-4.14450779,0.01449966,0.21024017,-0.00998650,0.20025366,1.00000000,0.00000000,0.00000000,0.29447994,0
60.000,-4.13000813,0.01449965,0.21023986,-0.00998619,0.20025367,1.00000000,0.00000000,0.00000000,0.82988981,0
61.000,-4.11550849,0.01449964,0.21023954,-0.00998586,0.20025368,1.00000000,0.00000000,0.00000000,0.03966150,0
62.000,-4.10100885,0.01449963,0.21023922,-0.00998553,0.20025369,1.00000000,0.00000000,0.00000000,0.28819906,0
63.000,-4.08650923,0.01449962,0.21023889,-0.00998519,0.20025369,1.00000000,0.00000000,0.00000000,0.65375036,0
64.000,-4.07200962,0.01449961,0.21023855,-0.00998485,0.20025370,1.00000000,0.00000000,0.00000000,0.65919880,0
65.000,-4.05751002,0.01449959,0.21023820,-0.00998449,0.20025371,1.00000000,0.00000000,0.00000000,0.63173778,0
66.000,-4.04301043,0.01449958,0.21023784,-0.00998413,0.20025372,1.00000000,0.00000000,0.00000000,0.84317521,0
67.000,-4.02851086,0.01449957,0.21023748,-0.00998375,0.20025373,1.00000000,0.00000000,0.00000000,0.98013726,0
68.000,-4.01401130,0.01449956,0.21023711,-0.00998337,0.20025374,1.00000000,0.00000000,0.00000000,0.10277889,0
69.000,-3.99951175,0.01449954,0.21023673,-0.00998298,0.20025374,1.00000000,0.00000000,0.00000000,0.91243891,0
70.000,-3.98501221,0.01449953,0.21023634,-0.00998258,0.20025375,1.00000000,0.00000000,0.00000000,0.37122404,0
71.000,-3.97051269,0.01449952,0.21023594,-0.00998217,0.20025376,1.00000000,0.00000000,0.00000000,0.49881342,0
72.000,-3.95601318,0.01449950,0.21023553,-0.00998175,0.20025377,1.00000000,0.00000000,0.00000000,0.26052727,0
73.000,-3.94151369,0.01449949,0.21023511,-0.00998133,0.20025378,1.00000000,0.00000000,0.00000000,0.14238121,0
74.000,-3.92701421,0.01449947,0.21023468,-0.00998089,0.20025379,1.00000000,0.00000000,0.00000000,0.69702387,0
75.000,-3.91251474,0.01449946,0.21023424,-0.00998044,0.20025380,1.00000000,0.00000000,0.00000000,0.94436418,0
76.000,-3.89801530,0.01449944,0.21023379,-0.00997998,0.20025381,1.00000000,0.00000000,0.00000000,0.00887805,0
77.000,-3.88351586,0.01449943,0.21023333,-0.00997951,0.20025382,1.00000000,0.00000000,0.00000000,0.71596023,0
78.000,-3.86901644,0.01449941,0.21023286,-0.00997903,0.20025383,1.00000000,0.00000000,0.00000000,0.18946956,0
79.000,-3.85451704,0.01449939,0.21023238,-0.00997854,0.20025385,1.00000000,0.00000000,0.00000000,0.48493885,0
80.000,-3.84001766,0.01449938,0.21023189,-0.00997803,0.20025386,1.00000000,0.00000000,0.00000000,0.40920713,0
81.000,-3.82551829,0.01449936,0.21023139,-0.00997752,0.20025387,1.00000000,0.00000000,0.00000000,0.40546644,0
82.000,-3.81101894,0.01449934,0.21023087,-0.00997699,0.20025388,1.00000000,0.00000000,0.00000000,0.80378031,0
83.000,-3.79651961,0.01449932,0.21023034,-0.00997645,0.20025389,1.00000000,0.00000000,0.00000000,0.75915505,0
84.000,-3.78202030,0.01449930,0.21022980,-0.00997590,0.20025391,1.00000000,0.00000000,0.00000000,0.29693022,0
85.000,-3.76752100,0.01449928,0.21022925,-0.00997533,0.20025392,1.00000000,0.00000000,0.00000000,0.48561607,0
86.000,-3.75302173,0.01449927,0.21022869,-0.00997475,0.20025393,1.00000000,0.00000000,0.00000000,0.47709276,0
87.000,-3.73852247,0.01449925,0.21022811,-0.00997416,0.20025395,1.00000000,0.00000000,0.00000000,0.21750128,0
88.000,-3.72402324,0.01449922,0.21022751,-0.00997355,0.20025396,1.00000000,0.00000000,0.00000000,0.40628773,0
89.000,-3.70952403,0.01449920,0.21022691,-0.00997293,0.20025397,1.00000000,0.00000000,0.00000000,0.57442968,0
